Country,State,city,place,lastupdate,Avg,Max,Min,Pollutants
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,64,83,49,NO2
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,6,7,5,NH3
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,15,31,8,SO2
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,80,127,48,CO
India,Delhi,Delhi,"DTU, Delhi - CPCB",21-12-2018 03:00:00,72,114,48,OZONE
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,361,436,187,PM2.5
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,278,413,129,PM10
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,93,147,38,NO2
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,11,15,7,NH3
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,25,55,13,SO2
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,51,128,20,CO
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",21-12-2018 03:00:00,150,150,1,OZONE
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,228,346,78,PM2.5
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,383,500,187,PM10
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,59,94,33,NO2
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,12,16,9,NH3
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,25,31,16,SO2
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,75,183,40,CO
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC",21-12-2018 03:00:00,36,84,2,OZONE
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-12-2018 03:00:00,356,480,182,PM2.5
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-12-2018 03:00:00,304,481,140,PM10
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-12-2018 03:00:00,50,94,25,NO2
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-12-2018 03:00:00,7,21,1,CO
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",21-12-2018 03:00:00,8,22,1,OZONE
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-12-2018 03:00:00,323,430,32,PM2.5
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-12-2018 03:00:00,93,146,41,NO2
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-12-2018 03:00:00,14,23,11,NH3
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-12-2018 03:00:00,22,38,6,SO2
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",21-12-2018 03:00:00,52,114,12,CO
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,396,480,306,PM2.5
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,272,420,164,PM10
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,47,76,31,NO2
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,12,30,2,NH3
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,10,14,8,SO2
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,88,157,58,CO
India,Delhi,Delhi,"ITO, Delhi - CPCB",21-12-2018 03:00:00,15,31,4,OZONE
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,426,500,325,PM2.5
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,397,500,265,PM10
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,76,102,50,NO2
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,19,26,12,NH3
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,33,52,22,SO2
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,97,170,65,CO
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",21-12-2018 03:00:00,36,82,4,OZONE
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,411,500,267,PM2.5
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,374,464,181,PM10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,101,157,37,NO2
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,17,20,12,NH3
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,30,60,17,SO2
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,35,148,7,CO
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",21-12-2018 03:00:00,40,111,1,OZONE
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",21-12-2018 03:00:00,329,437,194,PM2.5
